dx,d2x
19.5,17.25
54.0,17.75
89.5,-38.5
12.5,-5.5
1.5,4.75
11.0,0.75
12.5,-6.0
0.5,31.5
63.5,-25.0
13.5,-0.5
12.5,7.75
28.0,30.0
88.0,-19.25
49.5,-17.0
15.5,394.75
805.0,-374.5
56.0,338.75
733.5,-254.25
225.0,-21.75
181.5,214.75
611.0,-277.5
56.0,1186.5
2429.0,-694.75
1039.5,-495.0
49.5,1037.25
2124.0,25.5
2175.0,-300.5
1574.0,387.0
2348.0,1460.25
5268.5,1460.25
