area
2457
2560
2772
2730
2730
2730
5096
6016
5922
7590
7668
7668
9576
11562
11562
11562
11562
12804
12901
12672
14178
14178
14178
14178
14280
16677
16275
19488
19488
19488
19488
23736
23552
23552
27064
27811
33376
33376
33376
126766
127029
127029
128304
345
345
345
345
336
336
350
350
350
350
350
350
364
364
364
364
364
364
408
408
408
299
299
312
312
299
299
312
312
312
312
312
312
350
350
350
350
350
350
350
350
350
350
350
350
280
280
