area
1368
1406
1406
1406
1369
1369
1287
1287
1312
1312
1280
1240
1271
1248
1209
1209
1102
1102
1287
1248
1248
1221
1221
1404
1394
1353
1353
1353
1564
1386
1386
1452
1452
1551
1364
1426
1564
1564
1598
1610
1505
1505
1505
1435
1512
1470
1628
1628
1496
1512
1512
1558
1584
1584
1512
1462
1512
1672
1672
1482
1330
1330
1404
1406
1368
1400
1400
1394
1435
1365
1365
1365
1326
1326
1326
1470
1470
1386
1386
1435
1400
1400
1330
1292
1224
1224
1260
1440
1404
1404
1292
1365
1365
1365
1368
1440
1258
1254
1254
